# omega1                  omega2                  omega3                  degeneracy
  0.2390671938507E+03     0.2101527018538E+03     0.2891480164890E+02           48
  0.2106242642553E+03     0.6521011586240E+02     0.1454121378466E+03           96
  0.1794383060897E+03     0.2141942103000E+02     0.1580205877041E+03          192
  0.1780924529191E+03     0.9373779575940E+02     0.8435441289730E+02          384
  0.1626200600955E+03     0.5583894781200E+02     0.1067790263268E+03          192
  0.2299675559767E+03     0.1862640587366E+03     0.4370165962040E+02          192
  0.1919640842728E+03     0.8655191391360E+02     0.1054136590681E+03          192
  0.2085954902071E+03     0.1106628204691E+03     0.9793186033970E+02           96
  0.2144149799959E+03     0.4839009208830E+02     0.1660249849083E+03           96
  0.2174817768011E+03     0.6133731964840E+02     0.1561421686428E+03          240
  0.2302207932124E+03     0.1682284966701E+03     0.6199019346150E+02          192
  0.1623219001924E+03     0.4307246640900E+02     0.1192489044923E+03          384
  0.2147963165344E+03     0.3167703636270E+02     0.1831182299252E+03           12
  0.1342311660946E+03     0.5128818489270E+02     0.8294287089270E+02           24
  0.1661858899875E+03     0.6199011890920E+02     0.1041975146802E+03           96
  0.2349065551074E+03     0.8226229230860E+02     0.1526433387414E+03          144
  0.2334527614220E+03     0.1714631325715E+03     0.6199019234040E+02          120
  0.1560757565176E+03     0.5066130935750E+02     0.1054136587792E+03          144
  0.1510772538177E+03     0.8031991931570E+02     0.7075847417810E+02          288
  0.2244133859517E+03     0.7075847417810E+02     0.1536571897561E+03           48
  0.2319210489820E+03     0.5784774171410E+02     0.1740741923031E+03           36
  0.2132317145451E+03     0.1173422740032E+03     0.9588771093130E+02          288
  0.1876684533982E+03     0.4839009208830E+02     0.1392779608655E+03           96
  0.2355916309211E+03     0.1872035970629E+03     0.4839009219200E+02          192
  0.2355916309211E+03     0.1189977551242E+03     0.1165943783615E+03          288
  0.2165545458692E+03     0.1499771189431E+03     0.6657562588780E+02          288
  0.2170076565511E+03     0.4839009208830E+02     0.1686161877156E+03           96
  0.1872035978508E+03     0.8759552968810E+02     0.9960738518520E+02          192
  0.2362477863259E+03     0.5784774176430E+02     0.1784016197232E+03          192
  0.2286701618859E+03     0.5066130886840E+02     0.1780066222987E+03          192
  0.2278363238131E+03     0.9601962480770E+02     0.1318160191601E+03           24
  0.1445856610562E+03     0.6133731964840E+02     0.8324774828180E+02           96
  0.2340075775882E+03     0.1205797580444E+03     0.1134272507506E+03          192
  0.1392779498510E+03     0.8343959321690E+02     0.5583888675790E+02           96
  0.2313297728937E+03     0.8759552968810E+02     0.1437353252677E+03           96
