# qx                      qy                      qz                      omega                   d2dos                   d2dos1                  d2dos2                  n2dos                   n2dos1                  n2dos2
  0.0000000000000E+00     0.0000000000000E+00     0.0000000000000E+00     0.0000000000000E+00     0.0000000000000E+00     0.0000000000000E+00     0.0000000000000E+00     0.0000000000000E+00     0.0000000000000E+00     0.0000000000000E+00
  0.0000000000000E+00     0.0000000000000E+00     0.0000000000000E+00     0.0000000000000E+00     0.0000000000000E+00     0.0000000000000E+00     0.0000000000000E+00     0.0000000000000E+00     0.0000000000000E+00     0.0000000000000E+00
  0.0000000000000E+00     0.0000000000000E+00     0.0000000000000E+00     0.0000000000000E+00     0.0000000000000E+00     0.0000000000000E+00     0.0000000000000E+00     0.0000000000000E+00     0.0000000000000E+00     0.0000000000000E+00
  0.0000000000000E+00     0.0000000000000E+00     0.0000000000000E+00     0.1774870744156E+03     0.0000000000000E+00     0.0000000000000E+00     0.0000000000000E+00     0.0000000000000E+00     0.0000000000000E+00     0.0000000000000E+00
  0.0000000000000E+00     0.0000000000000E+00     0.0000000000000E+00     0.1774870744156E+03     0.0000000000000E+00     0.0000000000000E+00     0.0000000000000E+00     0.0000000000000E+00     0.0000000000000E+00     0.0000000000000E+00
  0.0000000000000E+00     0.0000000000000E+00     0.0000000000000E+00     0.1837329066913E+03     0.0000000000000E+00     0.0000000000000E+00     0.0000000000000E+00     0.0000000000000E+00     0.0000000000000E+00     0.0000000000000E+00
  0.0000000000000E+00     0.0000000000000E+00     0.0000000000000E+00     0.2086847529539E+03     0.0000000000000E+00     0.0000000000000E+00     0.0000000000000E+00     0.0000000000000E+00     0.0000000000000E+00     0.0000000000000E+00
  0.0000000000000E+00     0.0000000000000E+00     0.0000000000000E+00     0.2086847529539E+03     0.0000000000000E+00     0.0000000000000E+00     0.0000000000000E+00     0.0000000000000E+00     0.0000000000000E+00     0.0000000000000E+00
  0.0000000000000E+00     0.0000000000000E+00     0.0000000000000E+00     0.2401644230526E+03     0.0000000000000E+00     0.0000000000000E+00     0.0000000000000E+00     0.0000000000000E+00     0.0000000000000E+00     0.0000000000000E+00
  0.1000000000000E+00     0.0000000000000E+00     0.0000000000000E+00     0.2141942103000E+02     0.1200000000000E+02     0.1200000000000E+02     0.0000000000000E+00     0.1790534517651E+01     0.1790534517651E+01     0.0000000000000E+00
  0.1000000000000E+00     0.0000000000000E+00     0.0000000000000E+00     0.2141944352720E+02     0.1200000000000E+02     0.1200000000000E+02     0.0000000000000E+00     0.1790534517651E+01     0.1790534517651E+01     0.0000000000000E+00
  0.1000000000000E+00     0.0000000000000E+00     0.0000000000000E+00     0.4839009208830E+02     0.6000000000000E+02     0.6000000000000E+02     0.0000000000000E+00     0.1572164136486E+02     0.1572164136486E+02     0.0000000000000E+00
  0.1000000000000E+00     0.0000000000000E+00     0.0000000000000E+00     0.1779979432629E+03     0.0000000000000E+00     0.0000000000000E+00     0.0000000000000E+00     0.0000000000000E+00     0.0000000000000E+00     0.0000000000000E+00
  0.1000000000000E+00     0.0000000000000E+00     0.0000000000000E+00     0.1779979511704E+03     0.0000000000000E+00     0.0000000000000E+00     0.0000000000000E+00     0.0000000000000E+00     0.0000000000000E+00     0.0000000000000E+00
  0.1000000000000E+00     0.0000000000000E+00     0.0000000000000E+00     0.1857508542021E+03     0.0000000000000E+00     0.0000000000000E+00     0.0000000000000E+00     0.0000000000000E+00     0.0000000000000E+00     0.0000000000000E+00
  0.1000000000000E+00     0.0000000000000E+00     0.0000000000000E+00     0.2092508536997E+03     0.0000000000000E+00     0.0000000000000E+00     0.0000000000000E+00     0.0000000000000E+00     0.0000000000000E+00     0.0000000000000E+00
  0.1000000000000E+00     0.0000000000000E+00     0.0000000000000E+00     0.2092508580941E+03     0.0000000000000E+00     0.0000000000000E+00     0.0000000000000E+00     0.0000000000000E+00     0.0000000000000E+00     0.0000000000000E+00
  0.1000000000000E+00     0.0000000000000E+00     0.0000000000000E+00     0.2390671938507E+03     0.6000000000000E+01     0.0000000000000E+00     0.6000000000000E+01     0.4978528112413E+02     0.0000000000000E+00     0.4978528112413E+02
  0.2000000000000E+00     0.0000000000000E+00     0.0000000000000E+00     0.4370165961790E+02     0.1200000000000E+02     0.1200000000000E+02     0.0000000000000E+00     0.2353351660527E+01     0.2353351660527E+01     0.0000000000000E+00
  0.2000000000000E+00     0.0000000000000E+00     0.0000000000000E+00     0.4370167294980E+02     0.1200000000000E+02     0.1200000000000E+02     0.0000000000000E+00     0.2353351660527E+01     0.2353351660527E+01     0.0000000000000E+00
  0.2000000000000E+00     0.0000000000000E+00     0.0000000000000E+00     0.9316586135830E+02     0.0000000000000E+00     0.0000000000000E+00     0.0000000000000E+00     0.0000000000000E+00     0.0000000000000E+00     0.0000000000000E+00
  0.2000000000000E+00     0.0000000000000E+00     0.0000000000000E+00     0.1783746997485E+03     0.0000000000000E+00     0.0000000000000E+00     0.0000000000000E+00     0.0000000000000E+00     0.0000000000000E+00     0.0000000000000E+00
  0.2000000000000E+00     0.0000000000000E+00     0.0000000000000E+00     0.1783747088120E+03     0.0000000000000E+00     0.0000000000000E+00     0.0000000000000E+00     0.0000000000000E+00     0.0000000000000E+00     0.0000000000000E+00
  0.2000000000000E+00     0.0000000000000E+00     0.0000000000000E+00     0.1895150470434E+03     0.0000000000000E+00     0.0000000000000E+00     0.0000000000000E+00     0.0000000000000E+00     0.0000000000000E+00     0.0000000000000E+00
  0.2000000000000E+00     0.0000000000000E+00     0.0000000000000E+00     0.2106242642553E+03     0.6000000000000E+01     0.0000000000000E+00     0.6000000000000E+01     0.2829071845168E+02     0.0000000000000E+00     0.2829071845168E+02
  0.2000000000000E+00     0.0000000000000E+00     0.0000000000000E+00     0.2106242681128E+03     0.6000000000000E+01     0.0000000000000E+00     0.6000000000000E+01     0.2829071845168E+02     0.0000000000000E+00     0.2829071845168E+02
  0.2000000000000E+00     0.0000000000000E+00     0.0000000000000E+00     0.2356452125383E+03     0.0000000000000E+00     0.0000000000000E+00     0.0000000000000E+00     0.0000000000000E+00     0.0000000000000E+00     0.0000000000000E+00
  0.3000000000000E+00     0.0000000000000E+00     0.0000000000000E+00     0.6523667232420E+02     0.0000000000000E+00     0.0000000000000E+00     0.0000000000000E+00     0.0000000000000E+00     0.0000000000000E+00     0.0000000000000E+00
  0.3000000000000E+00     0.0000000000000E+00     0.0000000000000E+00     0.6523668448370E+02     0.0000000000000E+00     0.0000000000000E+00     0.0000000000000E+00     0.0000000000000E+00     0.0000000000000E+00     0.0000000000000E+00
  0.3000000000000E+00     0.0000000000000E+00     0.0000000000000E+00     0.1308455534906E+03     0.0000000000000E+00     0.0000000000000E+00     0.0000000000000E+00     0.0000000000000E+00     0.0000000000000E+00     0.0000000000000E+00
  0.3000000000000E+00     0.0000000000000E+00     0.0000000000000E+00     0.1763553661345E+03     0.0000000000000E+00     0.0000000000000E+00     0.0000000000000E+00     0.0000000000000E+00     0.0000000000000E+00     0.0000000000000E+00
  0.3000000000000E+00     0.0000000000000E+00     0.0000000000000E+00     0.1763553771101E+03     0.0000000000000E+00     0.0000000000000E+00     0.0000000000000E+00     0.0000000000000E+00     0.0000000000000E+00     0.0000000000000E+00
  0.3000000000000E+00     0.0000000000000E+00     0.0000000000000E+00     0.1912215074335E+03     0.0000000000000E+00     0.0000000000000E+00     0.0000000000000E+00     0.0000000000000E+00     0.0000000000000E+00     0.0000000000000E+00
